,index_k,company_code,company_name,date,stock_price,foreign_demand,equity_ratio,per,pbr,type_of_industry,type_of_market,accounting_period,market_capitalization,trading_value
85,23.0,7911,ＴＯＰＰＡＮ　ＩＮＣ．,2019-02-21,1774,28,53.18,14.238620689655171,0.49758620689655175,その他製品,プライム,3月末日,"763,409","8,547,441"
86,24.0,7911,ＴＯＰＰＡＮ　ＩＮＣ．,2019-02-22,1769,28,53.18,14.238620689655171,0.49758620689655175,その他製品,プライム,3月末日,"763,409","8,547,441"
87,25.0,7911,ＴＯＰＰＡＮ　ＩＮＣ．,2019-02-25,1779,28,53.18,14.238620689655171,0.49758620689655175,その他製品,プライム,3月末日,"763,409","8,547,441"
88,26.0,7911,ＴＯＰＰＡＮ　ＩＮＣ．,2019-02-26,1781,28,53.18,14.238620689655171,0.49758620689655175,その他製品,プライム,3月末日,"763,409","8,547,441"
89,27.0,7911,ＴＯＰＰＡＮ　ＩＮＣ．,2019-02-27,1793,28,53.18,14.238620689655171,0.49758620689655175,その他製品,プライム,3月末日,"763,409","8,547,441"
90,28.0,7911,ＴＯＰＰＡＮ　ＩＮＣ．,2019-02-28,1772,28,53.18,14.238620689655171,0.49758620689655175,その他製品,プライム,3月末日,"763,409","8,547,441"
91,29.0,7911,ＴＯＰＰＡＮ　ＩＮＣ．,2019-03-01,1770,28,53.18,14.238620689655171,0.49758620689655175,その他製品,プライム,3月末日,"763,409","8,547,441"
92,30.0,7911,ＴＯＰＰＡＮ　ＩＮＣ．,2019-03-04,1764,28,53.18,14.238620689655171,0.49758620689655175,その他製品,プライム,3月末日,"763,409","8,547,441"
93,31.0,7911,ＴＯＰＰＡＮ　ＩＮＣ．,2019-03-05,1741,28,53.18,14.238620689655171,0.49758620689655175,その他製品,プライム,3月末日,"763,409","8,547,441"
94,32.0,7911,ＴＯＰＰＡＮ　ＩＮＣ．,2019-03-06,1731,28,53.18,14.238620689655171,0.49758620689655175,その他製品,プライム,3月末日,"763,409","8,547,441"
95,33.0,7911,ＴＯＰＰＡＮ　ＩＮＣ．,2019-03-07,1697,28,53.18,14.238620689655171,0.49758620689655175,その他製品,プライム,3月末日,"763,409","8,547,441"
96,34.0,7911,ＴＯＰＰＡＮ　ＩＮＣ．,2019-03-08,1644,28,53.18,14.238620689655171,0.49758620689655175,その他製品,プライム,3月末日,"763,409","8,547,441"
97,35.0,7911,ＴＯＰＰＡＮ　ＩＮＣ．,2019-03-11,1657,28,53.18,14.238620689655171,0.49758620689655175,その他製品,プライム,3月末日,"763,409","8,547,441"
98,36.0,7911,ＴＯＰＰＡＮ　ＩＮＣ．,2019-03-12,1673,28,53.18,14.238620689655171,0.49758620689655175,その他製品,プライム,3月末日,"763,409","8,547,441"
99,37.0,7911,ＴＯＰＰＡＮ　ＩＮＣ．,2019-03-13,1651,28,53.18,14.238620689655171,0.49758620689655175,その他製品,プライム,3月末日,"763,409","8,547,441"
100,38.0,7911,ＴＯＰＰＡＮ　ＩＮＣ．,2019-03-14,1649,28,53.18,14.238620689655171,0.49758620689655175,その他製品,プライム,3月末日,"763,409","8,547,441"
101,39.0,7911,ＴＯＰＰＡＮ　ＩＮＣ．,2019-03-15,1663,28,53.18,14.238620689655171,0.49758620689655175,その他製品,プライム,3月末日,"763,409","8,547,441"
102,40.0,7911,ＴＯＰＰＡＮ　ＩＮＣ．,2019-03-18,1664,28,53.18,14.238620689655171,0.49758620689655175,その他製品,プライム,3月末日,"763,409","8,547,441"
103,41.0,7911,ＴＯＰＰＡＮ　ＩＮＣ．,2019-03-19,1666,28,53.18,14.238620689655171,0.49758620689655175,その他製品,プライム,3月末日,"763,409","8,547,441"
104,42.0,7911,ＴＯＰＰＡＮ　ＩＮＣ．,2019-03-20,1698,28,53.18,14.238620689655171,0.49758620689655175,その他製品,プライム,3月末日,"763,409","8,547,441"
105,43.0,7911,ＴＯＰＰＡＮ　ＩＮＣ．,2019-03-22,1701,28,53.18,14.238620689655171,0.49758620689655175,その他製品,プライム,3月末日,"763,409","8,547,441"
106,44.0,7911,ＴＯＰＰＡＮ　ＩＮＣ．,2019-03-25,1644,28,53.18,14.238620689655171,0.49758620689655175,その他製品,プライム,3月末日,"763,409","8,547,441"
107,45.0,7911,ＴＯＰＰＡＮ　ＩＮＣ．,2019-03-26,1706,28,53.18,14.238620689655171,0.49758620689655175,その他製品,プライム,3月末日,"763,409","8,547,441"
108,46.0,7911,ＴＯＰＰＡＮ　ＩＮＣ．,2019-03-27,1706,28,53.18,14.238620689655171,0.49758620689655175,その他製品,プライム,3月末日,"763,409","8,547,441"
109,47.0,7911,ＴＯＰＰＡＮ　ＩＮＣ．,2019-03-28,1681,28,53.18,14.238620689655171,0.49758620689655175,その他製品,プライム,3月末日,"763,409","8,547,441"
110,48.0,7911,ＴＯＰＰＡＮ　ＩＮＣ．,2019-03-29,1671,28,53.18,14.238620689655171,0.49758620689655175,その他製品,プライム,3月末日,"763,409","8,547,441"
111,49.0,7911,ＴＯＰＰＡＮ　ＩＮＣ．,2019-04-01,1712,28,53.18,14.238620689655171,0.49758620689655175,その他製品,プライム,3月末日,"763,409","8,547,441"
112,50.0,7911,ＴＯＰＰＡＮ　ＩＮＣ．,2019-04-02,1710,28,53.18,14.238620689655171,0.49758620689655175,その他製品,プライム,3月末日,"763,409","8,547,441"
113,51.0,7911,ＴＯＰＰＡＮ　ＩＮＣ．,2019-04-03,1721,28,53.18,14.238620689655171,0.49758620689655175,その他製品,プライム,3月末日,"763,409","8,547,441"
114,52.0,7911,ＴＯＰＰＡＮ　ＩＮＣ．,2019-04-04,1723,28,53.18,14.238620689655171,0.49758620689655175,その他製品,プライム,3月末日,"763,409","8,547,441"
115,53.0,7911,ＴＯＰＰＡＮ　ＩＮＣ．,2019-04-05,1737,28,53.18,14.238620689655171,0.49758620689655175,その他製品,プライム,3月末日,"763,409","8,547,441"
116,54.0,7911,ＴＯＰＰＡＮ　ＩＮＣ．,2019-04-08,1734,28,53.18,14.238620689655171,0.49758620689655175,その他製品,プライム,3月末日,"763,409","8,547,441"
117,55.0,7911,ＴＯＰＰＡＮ　ＩＮＣ．,2019-04-09,1745,28,53.18,14.238620689655171,0.49758620689655175,その他製品,プライム,3月末日,"763,409","8,547,441"
118,56.0,7911,ＴＯＰＰＡＮ　ＩＮＣ．,2019-04-10,1730,28,53.18,14.238620689655171,0.49758620689655175,その他製品,プライム,3月末日,"763,409","8,547,441"
119,57.0,7911,ＴＯＰＰＡＮ　ＩＮＣ．,2019-04-11,1747,28,53.18,14.238620689655171,0.49758620689655175,その他製品,プライム,3月末日,"763,409","8,547,441"
120,58.0,7911,ＴＯＰＰＡＮ　ＩＮＣ．,2019-04-12,1761,28,53.18,14.238620689655171,0.49758620689655175,その他製品,プライム,3月末日,"763,409","8,547,441"
121,59.0,7911,ＴＯＰＰＡＮ　ＩＮＣ．,2019-04-15,1808,28,53.18,14.238620689655171,0.49758620689655175,その他製品,プライム,3月末日,"763,409","8,547,441"
122,60.0,7911,ＴＯＰＰＡＮ　ＩＮＣ．,2019-04-16,1791,28,53.18,14.238620689655171,0.49758620689655175,その他製品,プライム,3月末日,"763,409","8,547,441"
123,61.0,7911,ＴＯＰＰＡＮ　ＩＮＣ．,2019-04-17,1794,28,53.18,14.238620689655171,0.49758620689655175,その他製品,プライム,3月末日,"763,409","8,547,441"
124,62.0,7911,ＴＯＰＰＡＮ　ＩＮＣ．,2019-04-18,1781,28,53.18,14.238620689655171,0.49758620689655175,その他製品,プライム,3月末日,"763,409","8,547,441"
125,63.0,7911,ＴＯＰＰＡＮ　ＩＮＣ．,2019-04-19,1781,28,53.18,14.238620689655171,0.49758620689655175,その他製品,プライム,3月末日,"763,409","8,547,441"
